Date,Close/Last,Volume,Open,High,Low,Adjusted Close
12/01/2021,12.3,N/A,12.3,12.3,12.3,12.3
11/30/2021,12.36,N/A,12.36,12.36,12.36,12.36
11/29/2021,12.33,N/A,12.33,12.33,12.33,12.3123
11/26/2021,12.36,N/A,12.36,12.36,12.36,12.3423
11/24/2021,12.31,N/A,12.31,12.31,12.31,12.2923
11/23/2021,12.27,N/A,12.27,12.27,12.27,12.2524
11/22/2021,12.33,N/A,12.33,12.33,12.33,12.3123
11/19/2021,12.44,N/A,12.44,12.44,12.44,12.4221
11/18/2021,12.46,N/A,12.46,12.46,12.46,12.4421
11/17/2021,12.44,N/A,12.44,12.44,12.44,12.4221
11/16/2021,12.43,N/A,12.43,12.43,12.43,12.4122
11/15/2021,12.46,N/A,12.46,12.46,12.46,12.4421
11/12/2021,12.47,N/A,12.47,12.47,12.47,12.4521
11/11/2021,12.46,N/A,12.46,12.46,12.46,12.4421
11/10/2021,12.46,N/A,12.46,12.46,12.46,12.4421
11/09/2021,12.49,N/A,12.49,12.49,12.49,12.4721
11/08/2021,12.43,N/A,12.43,12.43,12.43,12.4122
11/05/2021,12.39,N/A,12.39,12.39,12.39,12.3722
11/04/2021,12.35,N/A,12.35,12.35,12.35,12.3323
11/03/2021,12.27,N/A,12.27,12.27,12.27,12.2524
11/02/2021,12.28,N/A,12.28,12.28,12.28,12.2624
11/01/2021,12.24,N/A,12.24,12.24,12.24,12.2224
10/29/2021,12.28,N/A,12.28,12.28,12.28,12.2624
10/28/2021,12.33,N/A,12.33,12.33,12.33,12.2924
10/27/2021,12.44,N/A,12.44,12.44,12.44,12.4021
10/26/2021,12.4,N/A,12.4,12.4,12.4,12.3622
10/25/2021,12.35,N/A,12.35,12.35,12.35,12.3124
10/22/2021,12.32,N/A,12.32,12.32,12.32,12.2825
10/21/2021,12.31,N/A,12.31,12.31,12.31,12.2725
10/20/2021,12.29,N/A,12.29,12.29,12.29,12.2525
10/19/2021,12.27,N/A,12.27,12.27,12.27,12.2326
10/18/2021,12.3,N/A,12.3,12.3,12.3,12.2625
10/15/2021,12.32,N/A,12.32,12.32,12.32,12.2825
10/14/2021,12.35,N/A,12.35,12.35,12.35,12.3124
10/13/2021,12.32,N/A,12.32,12.32,12.32,12.2825
10/12/2021,12.28,N/A,12.28,12.28,12.28,12.2426
10/11/2021,12.26,N/A,12.26,12.26,12.26,12.2226
10/08/2021,12.26,N/A,12.26,12.26,12.26,12.2226
10/07/2021,12.26,N/A,12.26,12.26,12.26,12.2226
10/06/2021,12.28,N/A,12.28,12.28,12.28,12.2426
10/05/2021,12.28,N/A,12.28,12.28,12.28,12.2426
10/04/2021,12.26,N/A,12.26,12.26,12.26,12.2226
10/01/2021,12.26,N/A,12.26,12.26,12.26,12.2226
09/30/2021,12.22,N/A,12.22,12.22,12.22,12.1828
09/29/2021,12.21,N/A,12.21,12.21,12.21,12.1289
09/28/2021,12.21,N/A,12.21,12.21,12.21,12.1289
09/27/2021,12.23,N/A,12.23,12.23,12.23,12.1487
09/24/2021,12.23,N/A,12.23,12.23,12.23,12.1487
09/23/2021,12.26,N/A,12.26,12.26,12.26,12.1785
09/22/2021,12.3,N/A,12.3,12.3,12.3,12.2183
09/21/2021,12.31,N/A,12.31,12.31,12.31,12.2282
09/20/2021,12.33,N/A,12.33,12.33,12.33,12.2481
09/17/2021,12.32,N/A,12.32,12.32,12.32,12.2381
09/16/2021,12.35,N/A,12.35,12.35,12.35,12.268
09/15/2021,12.38,N/A,12.38,12.38,12.38,12.2978
09/14/2021,12.38,N/A,12.38,12.38,12.38,12.2978
09/13/2021,12.39,N/A,12.39,12.39,12.39,12.3077
09/10/2021,12.4,N/A,12.4,12.4,12.4,12.3176
09/09/2021,12.41,N/A,12.41,12.41,12.41,12.3276
09/08/2021,12.36,N/A,12.36,12.36,12.36,12.2779
09/07/2021,12.32,N/A,12.32,12.32,12.32,12.2381
09/03/2021,12.35,N/A,12.35,12.35,12.35,12.268
09/02/2021,12.37,N/A,12.37,12.37,12.37,12.2878
09/01/2021,12.36,N/A,12.36,12.36,12.36,12.2779
08/31/2021,12.36,N/A,12.36,12.36,12.36,12.2779
08/30/2021,12.39,N/A,12.39,12.39,12.39,12.224
08/27/2021,12.4,N/A,12.4,12.4,12.4,12.2339
